test case,execution time (seconds),execution time (minutes),completed paths,generated tests,total instructions,status,error message,output directory
test_oct0,529,8.816666666666666,101,101,1325640,PASS,-,/home/klee/apron/octagons/tests/klee-out-0
test_oct1,491,8.183333333333334,101,101,1323746,PASS,-,/home/klee/apron/octagons/tests/klee-out-2
test_oct2,460,7.666666666666667,101,101,1258737,PASS,-,/home/klee/apron/octagons/tests/klee-out-3
test_oct3,1205,20.083333333333332,101,75,2471926,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct3.c:20: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-7
test_oct4,701,11.683333333333334,101,66,1713999,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct4.c:19: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-14
test_oct5,478,7.966666666666667,101,101,1327963,PASS,-,/home/klee/apron/octagons/tests/klee-out-18
test_oct6,466,7.766666666666667,101,101,1581168,PASS,-,/home/klee/apron/octagons/tests/klee-out-24
test_oct7,536,8.933333333333334,101,101,1663011,PASS,-,/home/klee/apron/octagons/tests/klee-out-27
test_oct8,508,8.466666666666667,101,101,1643346,PASS,-,/home/klee/apron/octagons/tests/klee-out-31
test_oct9,487,8.116666666666667,101,101,1719060,PASS,-,/home/klee/apron/octagons/tests/klee-out-35
test_oct10,1196,19.933333333333334,101,101,2580727,PASS,-,/home/klee/apron/octagons/tests/klee-out-0
test_oct11,483,8.05,101,101,1318908,PASS,-,/home/klee/apron/octagons/tests/klee-out-6
test_oct12,637,10.616666666666667,101,79,1680046,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct12.c:22: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-9
test_oct13,669,11.15,101,79,1713194,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct13.c:21: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-12
test_oct14,632,10.533333333333333,101,101,1708344,PASS,-,/home/klee/apron/octagons/tests/klee-out-16
test_oct15,432,7.2,101,101,1285777,PASS,-,/home/klee/apron/octagons/tests/klee-out-21
test_oct16,466,7.766666666666667,101,101,1401319,PASS,-,/home/klee/apron/octagons/tests/klee-out-26
test_oct17,529,8.816666666666666,101,101,1668886,PASS,-,/home/klee/apron/octagons/tests/klee-out-29
test_oct18,569,9.483333333333333,101,101,1780569,PASS,-,/home/klee/apron/octagons/tests/klee-out-33
test_oct19,437,7.283333333333333,101,101,1681934,PASS,-,/home/klee/apron/octagons/tests/klee-out-36
test_oct20,1094,18.233333333333334,101,101,2432934,PASS,-,/home/klee/apron/octagons/tests/klee-out-0
test_oct21,504,8.4,101,101,1479751,PASS,-,/home/klee/apron/octagons/tests/klee-out-4
test_oct22,607,10.116666666666667,101,79,1643963,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct22.c:21: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-8
test_oct23,632,10.533333333333333,101,78,1692361,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct23.c:21: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-11
test_oct24,647,10.783333333333333,101,101,2119514,PASS,-,/home/klee/apron/octagons/tests/klee-out-15
test_oct25,154,2.566666666666667,-,-,-,FAIL,Segmentation fault,/home/klee/apron/octagons/tests/klee-out-19
test_oct26,109,1.8166666666666667,-,-,-,FAIL,Segmentation fault,/home/klee/apron/octagons/tests/klee-out-22
test_oct27,605,10.083333333333334,101,101,1707789,PASS,-,/home/klee/apron/octagons/tests/klee-out-23
test_oct28,548,9.133333333333333,101,101,1678531,PASS,-,/home/klee/apron/octagons/tests/klee-out-28
test_oct29,419,6.983333333333333,101,101,1314995,PASS,-,/home/klee/apron/octagons/tests/klee-out-32
test_oct30,472,7.866666666666666,101,101,1305224,PASS,-,/home/klee/apron/octagons/tests/klee-out-0
test_oct31,692,11.533333333333333,101,101,1777800,PASS,-,/home/klee/apron/octagons/tests/klee-out-1
test_oct32,737,12.283333333333333,101,101,1807174,PASS,-,/home/klee/apron/octagons/tests/klee-out-5
test_oct33,614,10.233333333333333,101,78,1636887,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct33.c:21: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-10
test_oct34,626,10.433333333333334,101,78,1640740,FAIL,KLEE: ERROR: /home/klee/apron/octagons/tests/test_oct34.c:21: invalid klee_assume call (provably false),/home/klee/apron/octagons/tests/klee-out-13
test_oct35,439,7.316666666666666,101,101,1281558,PASS,-,/home/klee/apron/octagons/tests/klee-out-17
test_oct36,420,7.0,101,101,1249608,PASS,-,/home/klee/apron/octagons/tests/klee-out-20
test_oct37,627,10.45,101,101,1759773,PASS,-,/home/klee/apron/octagons/tests/klee-out-25
test_oct38,612,10.2,101,101,1787947,PASS,-,/home/klee/apron/octagons/tests/klee-out-30
test_oct39,566,9.433333333333334,101,101,1833010,PASS,-,/home/klee/apron/octagons/tests/klee-out-34
